Alcoholic Beverages_p,Animal Products_p,Animal fats_p,"Aquatic Products, Other_p",Cereals - Excluding Beer_p,Eggs_p,"Fish, Seafood_p",Fruits - Excluding Wine_p,Meat_p,Milk - Excluding Butter_p,Offals_p,Oilcrops_p,Pulses_p,Spices_p,Starchy Roots_p,Stimulants_p,Sugar Crops_p,Sugar & Sweeteners_p,Treenuts_p,Vegetal Products_p,Vegetable Oils_p,Vegetables_p,Miscellaneous_p,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
0.201,18.9431,0.0893,0.0,18.6156,0.9378,2.3074,1.5035,10.748,4.5999,0.2531,1.7864,5.9918,0.0521,0.4094,0.2903,0.0,0.0,0.1265,31.0607,0.0372,1.3844,0.6624,Belize,22.4,7.5,2.8727923627684997,0.0730310262529833,2.7396181384248197,0.0601431980906921,419000.0
0.7448,11.1646,0.0078,0.0,18.3955,0.225,3.6853,0.3491,5.6948,1.094,0.45,3.2508,4.275,1.6293,7.7818,0.0233,0.0,0.0,0.5741,38.8393,0.0,1.7457,0.0698,Benin,8.2,10.100000381469727,0.0343435170775657,0.000450487345400934,0.0291833893029732,0.00470964042919158,12209000.0
0.1826,22.6898,0.0219,0.0,18.0364,1.4609999999999999,0.5552,0.9131,17.0794,3.2143,0.3506,0.5114,2.0747,0.1023,3.4772,0.4894,0.0,0.0,0.431,27.3139,0.0146,0.9204,0.1607,Bolivia,18.7,17.100000381469727,1.9524456288145802,0.0924353133327602,1.4386142869423202,0.42139602853950003,11633000.0
0.5332,18.3339,0.0633,0.0,19.2578,0.7918,0.8341,0.7338,6.7096,9.3808,0.5543,0.6863,1.6998,1.3461,1.8582,0.9449,0.0,0.0053,0.2059,31.6634,0.0158,4.1651,0.2164,Bosnia and Herzegovina,19.4,2.5,3.76208473026516,0.145534897896983,2.9603169765315496,0.656232855836635,3281000.0
0.3682,20.29,0.1534,0.0,21.8932,0.3299,0.8208,0.3759,8.3615,9.3971,1.2274,1.5572,1.3194,0.4066,1.7413,0.3068,0.0,0.0,0.0384,29.71,0.0153,1.189,0.4986,Botswana,16.1,26.399999618530273,1.0143720328010402,0.00703495899870522,0.844799309451877,0.162537764350453,2317000.0
0.2807,29.0557,0.1266,0.0,12.1671,1.1831,1.3537,0.7759,18.7486,7.0053,0.6383,0.4788,4.7326,0.022000000000000002,0.8640000000000001,0.6879,0.022000000000000002,0.0165,0.066,20.9443,0.022000000000000002,0.8089,0.0,Brazil,22.3,2.5,4.46016514645063,0.108602912016316,3.97946858534927,0.37209364908503795,211812000.0
0.6659,24.988000000000003,0.24,0.012,17.5666,1.6079,1.3379,0.7499,11.6331,8.7833,1.3739,0.7619,0.7859,1.6319,0.6959,0.588,0.0,0.0,0.132,25.011999999999997,0.024,1.3139,0.096,Bulgaria,27.4,3.5999999046325684,3.2272556662335803,0.134416053125451,2.7889562581204,0.303883354987729,6927000.0
1.3659999999999999,7.1846,0.0066,0.0,29.1784,0.4466,1.4842,0.0591,2.975,1.7666,0.5057,5.7595,5.6019,0.0657,0.2496,0.0328,0.0,0.0,0.0854,42.8121,0.0,0.3809,0.0394,Burkina Faso,4.5,20.0,0.053709993780797,0.000641056307707028,0.0480313830550639,0.00503755441802612,20903000.0
0.3173,18.5332,0.0649,0.0072,20.5668,1.0024,2.3004,0.649,8.4734,6.3172,0.3678,0.3534,5.2138,0.6707,1.0673,0.2885,0.0,0.0,0.0505,31.4704,0.0361,1.6875,0.5625,Cabo Verde,10.6,12.600000381469727,2.5863309352518,0.0242805755395683,2.4611510791366897,0.10089928057553998,556000.0
0.4817,14.6494,0.0153,0.0,25.843000000000004,0.2982,10.2607,0.2982,3.2571,0.3441,0.474,4.5722,2.2173,0.1988,0.5046,0.0535,0.0153,0.0,0.0382,35.3544,0.0,0.8946,0.2294,Cambodia,3.5,16.399999618530273,0.0030586565141640302,0.0,0.00292959927727947,0.000129057236884558,15497000.0
0.5688,8.1066,0.0144,0.0,19.7696,0.07200000000000001,3.4197,1.5119,3.4845,0.8063,0.3168,3.8301,8.9777,0.8567,3.3261,0.1008,0.0,0.0,0.3168,41.8934,0.0072,2.5414,0.0792,Cameroon,9.5,9.899999618530273,0.11803143093465698,0.00178208887886307,0.11091435446274199,0.00533498759305211,26598000.0
0.3458,25.1828,0.6868,0.0049,12.9249,2.0553,2.8755,0.6868,13.7253,5.7905,0.0445,2.416,3.7451,0.1532,1.3785,0.6374,0.0,0.0099,0.5534,24.8172,0.084,1.5909,0.2915,Canada,31.3,2.5,2.10996072270228,0.0542026708562451,1.9098481277821397,0.002356585493584708,38190000.0
0.2045,21.8538,0.0969,0.0,8.8276,0.1507,2.4330000000000003,1.0012,15.3192,1.6363,2.2069,3.6064,5.5765,0.0108,7.7726,0.3876,0.0,0.0431,0.0,28.1516,0.0,0.6890000000000001,0.0323,Central African Republic,6.3,59.599998474121094,0.103291925465839,0.0013043478260869599,0.10113871635610801,0.000848861283643892,4830000.0
