Alcoholic Beverages_kcal,Animal Products_kcal,Animal fats_kcal,"Aquatic Products, Other_kcal",Cereals - Excluding Beer_kcal,Eggs_kcal,"Fish, Seafood_kcal",Fruits - Excluding Wine_kcal,Meat_kcal,Milk - Excluding Butter_kcal,Miscellaneous_kcal,Offals_kcal,Oilcrops_kcal,Pulses_kcal,Spices_kcal,Starchy Roots_kcal,Stimulants_kcal,Sugar Crops_kcal,Sugar & Sweeteners_kcal,Treenuts_kcal,Vegetal Products_kcal,Vegetable Oils_kcal,Vegetables_kcal,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
2.3089,14.1587,4.7771,0.0,13.0441,0.69,0.5971,1.38,3.2776,4.6311,0.0,0.1858,0.2389,0.2919,0.0929,2.1895,0.1194,0.0,6.8073,0.5573,35.8413,7.0727,1.7383,Belgium,24.5,2.5,6.28632218844985,0.185427702996092,0.0,6.100894485453759,11515000.0
1.5199,9.1752,2.6135,0.0,18.9064,0.2966,0.3707,2.5209,3.9481,1.8906,0.519,0.0371,0.6117,2.2799,0.0371,0.5005,0.2966,0.0,7.6367,0.1297,40.8526,5.1158,0.7414,Belize,22.4,7.5,2.8727923627684997,0.0730310262529833,2.7396181384248197,0.0601431980906921,419000.0
1.7604,2.4864,0.0907,0.0,18.4755,0.0544,0.5263,0.7623,1.1978,0.5263,0.0544,0.0726,1.8693,1.6515,1.0163,14.4646,0.0181,0.0,1.4338,0.5082,47.5318,4.6461,0.853,Benin,8.2,10.100000381469727,0.0343435170775657,0.000450487345400934,0.0291833893029732,0.00470964042919158,12209000.0
0.7859,10.0255,0.9133,0.0,21.644000000000002,0.5523,0.1062,2.4214,6.7545,1.6355,0.1274,0.085,0.4036,0.9133,0.085,3.5472,0.2761,0.0,5.6924,0.7859,39.9533,2.6551,0.6372,Bolivia,18.7,17.100000381469727,1.9524456288145802,0.0924353133327602,1.4386142869423202,0.42139602853950003,11633000.0
3.8856,9.0561,0.5507,0.0,21.233,0.2907,0.1836,1.8969,3.0289,4.8799,0.1989,0.1071,0.306,0.7802,1.0402,2.2640000000000002,0.8414,0.0,3.0289,0.2601,40.9515,2.9524,2.2640000000000002,Bosnia and Herzegovina,19.4,2.5,3.76208473026516,0.145534897896983,2.9603169765315496,0.656232855836635,3281000.0
1.5598,8.1197,1.047,0.0,22.3932,0.1068,0.1923,1.0256,1.8803,4.6795,0.4487,0.2137,0.4915,0.5769,0.3419,2.6709,0.2564,0.0,5.9402,0.0427,41.8803,5.4915,0.6409999999999999,Botswana,16.1,26.399999618530273,1.0143720328010402,0.00703495899870522,0.844799309451877,0.162537764350453,2317000.0
1.4314,13.2061,1.5238,0.0,14.5913,0.4464,0.2309,1.7239,7.1571,3.7402,0.0,0.1077,0.7234,2.0317,0.0154,1.7854,0.1385,0.1847,6.3260000000000005,0.077,36.8016,7.2033,0.5541,Brazil,22.3,2.5,4.46016514645063,0.108602912016316,3.97946858534927,0.37209364908503795,211812000.0
3.6782,12.29,2.458,0.0,17.930999999999997,0.5836,0.2829,1.7683,4.3148,4.3855,0.0884,0.2653,0.6366,0.3537,1.2202,0.9019,0.2122,0.0,4.6508,0.1415,37.7188,5.252000000000001,0.8665,Bulgaria,27.4,3.5999999046325684,3.2272556662335803,0.134416053125451,2.7889562581204,0.303883354987729,6927000.0
2.5188,2.7946,0.1287,0.0,31.6051,0.1471,0.2574,0.1471,1.1583,1.0112,0.0368,0.0919,3.6771,2.4269,0.0552,0.478,0.0184,0.0,1.765,0.0735,47.1962,4.2103,0.2022,Burkina Faso,4.5,20.0,0.053709993780797,0.000641056307707028,0.0480313830550639,0.00503755441802612,20903000.0
1.2525,8.5288,1.0537,0.0,23.8171,0.33799999999999997,0.3976,1.4513,3.4394,3.2207,0.4374,0.0795,0.4374,2.2068,0.49700000000000005,1.8887,0.1789,0.0,3.6183,0.0596,41.4712,4.493,1.1332,Cabo Verde,10.6,12.600000381469727,2.5863309352518,0.0242805755395683,2.4611510791366897,0.10089928057553998,556000.0
